frame.number,frame.time_relative,ip.src,ip.dst,udp.length,udp.srcport,udp.dstport,dns.flags.response,dns.flags.rcode,dns.qry.name,dns.qry.name.len,dns.count.labels,dns.qry.type,dns.qry.class,dns.count.queries,dns.count.answers,dns.count.auth_rr,dns.count.add_rr,dns.resp.name,dns.resp.len,dns.resp.ttl
1,0.000000000,192.168.34.182,192.168.32.1,55,63483,53,0,,aaa.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,0,0,0,,,
2,0.229723000,192.168.32.1,192.168.34.182,323,53,63483,1,0,aaa.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,1,0,0,aaa.stage.6334499.a.2rrrr.top,256,1
3,0.230865000,192.168.34.182,192.168.32.1,55,60854,53,0,,baa.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,0,0,0,,,
4,0.421912000,192.168.32.1,192.168.34.182,323,53,60854,1,0,baa.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,1,0,0,baa.stage.6334499.a.2rrrr.top,256,1
5,0.423209000,192.168.34.182,192.168.32.1,55,51636,53,0,,caa.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,0,0,0,,,
6,0.599097000,192.168.32.1,192.168.34.182,323,53,51636,1,0,caa.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,1,0,0,caa.stage.6334499.a.2rrrr.top,256,1
7,0.600640000,192.168.34.182,192.168.32.1,55,62966,53,0,,daa.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,0,0,0,,,
8,0.830182000,192.168.32.1,192.168.34.182,323,53,62966,1,0,daa.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,1,0,0,daa.stage.6334499.a.2rrrr.top,256,1
9,0.831242000,192.168.34.182,192.168.32.1,55,63159,53,0,,eaa.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,0,0,0,,,
10,0.868447000,192.168.32.1,192.168.34.182,323,53,63159,1,0,eaa.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,1,0,0,eaa.stage.6334499.a.2rrrr.top,256,1
11,0.869601000,192.168.34.182,192.168.32.1,55,60104,53,0,,faa.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,0,0,0,,,
12,1.094681000,192.168.32.1,192.168.34.182,323,53,60104,1,0,faa.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,1,0,0,faa.stage.6334499.a.2rrrr.top,256,1
13,1.095717000,192.168.34.182,192.168.32.1,55,63034,53,0,,gaa.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,0,0,0,,,
14,1.136037000,192.168.32.1,192.168.34.182,323,53,63034,1,0,gaa.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,1,0,0,gaa.stage.6334499.a.2rrrr.top,256,1
15,1.137185000,192.168.34.182,192.168.32.1,55,61675,53,0,,haa.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,0,0,0,,,
16,1.176989000,192.168.32.1,192.168.34.182,323,53,61675,1,0,haa.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,1,0,0,haa.stage.6334499.a.2rrrr.top,256,1
17,1.177927000,192.168.34.182,192.168.32.1,55,49396,53,0,,iaa.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,0,0,0,,,
