frame.number,frame.time_relative,ip.src,ip.dst,udp.length,udp.srcport,udp.dstport,dns.flags.response,dns.flags.rcode,dns.qry.name,dns.qry.name.len,dns.count.labels,dns.qry.type,dns.qry.class,dns.count.queries,dns.count.answers,dns.count.auth_rr,dns.count.add_rr,dns.resp.name,dns.resp.len,dns.resp.ttl
1,0.000000000,110.185.233.150,172.16.249.68,67,57251,53,0,,dnscat.50ae017c0f2812722261320078d9da2d76,41,2,15,0x00000001,1,0,0,0,,,
2,0.000591000,172.16.249.68,110.185.233.150,124,53,57251,1,0,dnscat.50ae017c0f2812722261320078d9da2d76,41,2,15,0x00000001,1,1,0,0,dnscat.50ae017c0f2812722261320078d9da2d76,45,60
3,1.048148000,110.185.233.150,172.16.249.68,67,57251,53,0,,dnscat.77ae017c0fadc6ac7e447400793623692d,41,2,15,0x00000001,1,0,0,0,,,
4,1.048914000,172.16.249.68,110.185.233.150,124,53,57251,1,0,dnscat.77ae017c0fadc6ac7e447400793623692d,41,2,15,0x00000001,1,1,0,0,dnscat.77ae017c0fadc6ac7e447400793623692d,45,60
5,2.101264000,110.185.233.150,172.16.249.68,67,57251,53,0,,dnscat.22a3017c0f9e3418ff1a19007ac94b6423,41,2,16,0x00000001,1,0,0,0,,,
6,2.101837000,172.16.249.68,110.185.233.150,114,53,57251,1,0,dnscat.22a3017c0f9e3418ff1a19007ac94b6423,41,2,16,0x00000001,1,1,0,0,dnscat.22a3017c0f9e3418ff1a19007ac94b6423,35,60
7,3.149457000,110.185.233.150,172.16.249.68,67,57251,53,0,,dnscat.058a017c0f23b20fac6c80007b62896d2b,41,2,5,0x00000001,1,0,0,0,,,
8,3.150036000,172.16.249.68,110.185.233.150,122,53,57251,1,0,dnscat.058a017c0f23b20fac6c80007b62896d2b,41,2,5,0x00000001,1,1,0,0,dnscat.058a017c0f23b20fac6c80007b62896d2b,43,60
9,4.196091000,110.185.233.150,172.16.249.68,67,57251,53,0,,dnscat.764c017c0fd41835733053007cc5fcf0f6,41,2,16,0x00000001,1,0,0,0,,,
10,4.196609000,172.16.249.68,110.185.233.150,114,53,57251,1,0,dnscat.764c017c0fd41835733053007cc5fcf0f6,41,2,16,0x00000001,1,1,0,0,dnscat.764c017c0fd41835733053007cc5fcf0f6,35,60
11,5.243223000,110.185.233.150,172.16.249.68,67,57251,53,0,,dnscat.11b8017c0fb65c854d7769007d0fbf9d3c,41,2,5,0x00000001,1,0,0,0,,,
12,5.243818000,172.16.249.68,110.185.233.150,122,53,57251,1,0,dnscat.11b8017c0fb65c854d7769007d0fbf9d3c,41,2,5,0x00000001,1,1,0,0,dnscat.11b8017c0fb65c854d7769007d0fbf9d3c,43,60
13,6.292361000,110.185.233.150,172.16.249.68,67,57251,53,0,,dnscat.3de5017c0fc81afeeea507007e3ac24fac,41,2,5,0x00000001,1,0,0,0,,,
14,6.292995000,172.16.249.68,110.185.233.150,122,53,57251,1,0,dnscat.3de5017c0fc81afeeea507007e3ac24fac,41,2,5,0x00000001,1,1,0,0,dnscat.3de5017c0fc81afeeea507007e3ac24fac,43,60
15,7.339576000,110.185.233.150,172.16.249.68,67,57251,53,0,,dnscat.06aa017c0f9b02211dd240007f3a6f97b3,41,2,16,0x00000001,1,0,0,0,,,
16,7.340267000,172.16.249.68,110.185.233.150,114,53,57251,1,0,dnscat.06aa017c0f9b02211dd240007f3a6f97b3,41,2,16,0x00000001,1,1,0,0,dnscat.06aa017c0f9b02211dd240007f3a6f97b3,35,60
17,8.389143000,110.185.233.150,172.16.249.68,67,57251,53,0,,dnscat.1105017c0fdbbaaf06b619008011a284eb,41,2,16,0x00000001,1,0,0,0,,,
18,8.389666000,172.16.249.68,110.185.233.150,114,53,57251,1,0,dnscat.1105017c0fdbbaaf06b619008011a284eb,41,2,16,0x00000001,1,1,0,0,dnscat.1105017c0fdbbaaf06b619008011a284eb,35,60
19,9.439795000,110.185.233.150,172.16.249.68,67,57251,53,0,,dnscat.05aa017c0f0f8a184e183600816607bc52,41,2,15,0x00000001,1,0,0,0,,,
20,9.440372000,172.16.249.68,110.185.233.150,124,53,57251,1,0,dnscat.05aa017c0f0f8a184e183600816607bc52,41,2,15,0x00000001,1,1,0,0,dnscat.05aa017c0f0f8a184e183600816607bc52,45,60
21,10.492456000,110.185.233.150,172.16.249.68,67,57251,53,0,,dnscat.4ebe017c0f4f67cbfe32450082c0ac513f,41,2,16,0x00000001,1,0,0,0,,,
22,10.493035000,172.16.249.68,110.185.233.150,114,53,57251,1,0,dnscat.4ebe017c0f4f67cbfe32450082c0ac513f,41,2,16,0x00000001,1,1,0,0,dnscat.4ebe017c0f4f67cbfe32450082c0ac513f,35,60
23,11.539057000,110.185.233.150,172.16.249.68,67,57251,53,0,,dnscat.2ab0017c0f1c7f15fd9bfd0083b6bf934a,41,2,15,0x00000001,1,0,0,0,,,
24,11.539638000,172.16.249.68,110.185.233.150,124,53,57251,1,0,dnscat.2ab0017c0f1c7f15fd9bfd0083b6bf934a,41,2,15,0x00000001,1,1,0,0,dnscat.2ab0017c0f1c7f15fd9bfd0083b6bf934a,45,60
25,12.588736000,110.185.233.150,172.16.249.68,67,57251,53,0,,dnscat.34d8017c0f268d332329ac008461a7de48,41,2,5,0x00000001,1,0,0,0,,,
