frame.number,frame.time_relative,ip.src,ip.dst,udp.length,udp.srcport,udp.dstport,dns.flags.response,dns.flags.rcode,dns.qry.name,dns.qry.name.len,dns.count.labels,dns.qry.type,dns.qry.class,dns.count.queries,dns.count.answers,dns.count.auth_rr,dns.count.add_rr,dns.resp.name,dns.resp.len,dns.resp.ttl
1,0.000000000,192.168.1.168,8.129.131.148,34,57304,53,0,,bnh0.com,8,2,16,0x00000001,1,0,0,0,,,
2,1.991952000,8.129.131.148,192.168.1.168,107,53,57304,1,0,bnh0.com,8,2,16,0x00000001,1,1,0,0,bnh0.com,61,60
3,2.015064000,192.168.1.168,8.129.131.148,88,57305,53,0,,RDV6RCtUTjZiU1IyNFpoZ3dJK2piMEFzRkZ3eC85R1c1ZjlSSEZJRk5YZk.com,62,2,1,0x00000001,1,0,0,0,,,
4,2.051229000,8.129.131.148,192.168.1.168,88,53,57305,1,0,RDV6RCtUTjZiU1IyNFpoZ3dJK2piMEFzRkZ3eC85R1c1ZjlSSEZJRk5YZk.com,62,2,1,0x00000001,1,0,0,0,,,
5,2.051718000,192.168.1.168,8.129.131.148,88,57306,53,0,,FmZ1l5aVhmc0tlVU1uSHhSUUtBbmhlVDJzZytON0pSaW9Zckk3VEdtR25z.com,62,2,1,0x00000001,1,0,0,0,,,
6,2.089465000,8.129.131.148,192.168.1.168,88,53,57306,1,0,FmZ1l5aVhmc0tlVU1uSHhSUUtBbmhlVDJzZytON0pSaW9Zckk3VEdtR25z.com,62,2,1,0x00000001,1,0,0,0,,,
7,2.089964000,192.168.1.168,8.129.131.148,88,57307,53,0,,VVRmRkpaUDlkclpTOUxUZ1kzQmNRUlhMbEdlaUQ5Z1Z6TkhzRGlreksrbG.com,62,2,1,0x00000001,1,0,0,0,,,
8,2.125870000,8.129.131.148,192.168.1.168,88,53,57307,1,0,VVRmRkpaUDlkclpTOUxUZ1kzQmNRUlhMbEdlaUQ5Z1Z6TkhzRGlreksrbG.com,62,2,1,0x00000001,1,0,0,0,,,
9,2.126366000,192.168.1.168,8.129.131.148,88,57308,53,0,,xnUStMQWk5QjhKY0pya0JsVGkreExlcDZCdlZQWVl3ZG1WelMzdzIwckhz.com,62,2,1,0x00000001,1,0,0,0,,,
10,2.161708000,8.129.131.148,192.168.1.168,88,53,57308,1,0,xnUStMQWk5QjhKY0pya0JsVGkreExlcDZCdlZQWVl3ZG1WelMzdzIwckhz.com,62,2,1,0x00000001,1,0,0,0,,,
11,2.162252000,192.168.1.168,8.129.131.148,88,57309,53,0,,bGZjVTkxT21OeW1CZ2VFZTh6ZjN0WEVpcFRKKzRPZGcvTnF0R2h1NXo5MD.com,62,2,1,0x00000001,1,0,0,0,,,
12,2.196823000,8.129.131.148,192.168.1.168,88,53,57309,1,0,bGZjVTkxT21OeW1CZ2VFZTh6ZjN0WEVpcFRKKzRPZGcvTnF0R2h1NXo5MD.com,62,2,1,0x00000001,1,0,0,0,,,
13,2.197374000,192.168.1.168,8.129.131.148,88,57310,53,0,,Vpay9Ob1B2RjJxbjVkbGRwbUNSM3R3YWliZzFtYkdGb05NUTJERmlQKzFn.com,62,2,1,0x00000001,1,0,0,0,,,
14,2.235676000,8.129.131.148,192.168.1.168,88,53,57310,1,0,Vpay9Ob1B2RjJxbjVkbGRwbUNSM3R3YWliZzFtYkdGb05NUTJERmlQKzFn.com,62,2,1,0x00000001,1,0,0,0,,,
15,2.236249000,192.168.1.168,8.129.131.148,88,57311,53,0,,MHZmQmhaUnQ0MlRFbVB6NEJmUyt3RXdaQ29VWFN6eEhEckVSTTdrYUtPbm.com,62,2,1,0x00000001,1,0,0,0,,,
16,2.270186000,8.129.131.148,192.168.1.168,88,53,57311,1,0,MHZmQmhaUnQ0MlRFbVB6NEJmUyt3RXdaQ29VWFN6eEhEckVSTTdrYUtPbm.com,62,2,1,0x00000001,1,0,0,0,,,
17,2.270646000,192.168.1.168,8.129.131.148,88,57312,53,0,,ZTemhZK1ptZXNnWGNxNVUxVk5mUHQwc01QMS9wc2tyOTFJQUo0RUxTQkxz.com,62,2,1,0x00000001,1,0,0,0,,,
18,2.306211000,8.129.131.148,192.168.1.168,88,53,57312,1,0,ZTemhZK1ptZXNnWGNxNVUxVk5mUHQwc01QMS9wc2tyOTFJQUo0RUxTQkxz.com,62,2,1,0x00000001,1,0,0,0,,,
19,2.306687000,192.168.1.168,8.129.131.148,88,57313,53,0,,WkFtdElGOWRiVVQrNTBUb2tOMVlvQmtra3RPZERta0p0RkNNTWQ0Qzdob0.com,62,2,1,0x00000001,1,0,0,0,,,
20,2.343430000,8.129.131.148,192.168.1.168,88,53,57313,1,0,WkFtdElGOWRiVVQrNTBUb2tOMVlvQmtra3RPZERta0p0RkNNTWQ0Qzdob0.com,62,2,1,0x00000001,1,0,0,0,,,
21,2.343940000,192.168.1.168,8.129.131.148,88,57314,53,0,,czb2M1RS9rbGtjazdBWmk5bFZ5cTVVSkFHMjlYQitsNHpRdFQzTDVyaVAy.com,62,2,1,0x00000001,1,0,0,0,,,
22,2.378787000,8.129.131.148,192.168.1.168,88,53,57314,1,0,czb2M1RS9rbGtjazdBWmk5bFZ5cTVVSkFHMjlYQitsNHpRdFQzTDVyaVAy.com,62,2,1,0x00000001,1,0,0,0,,,
23,2.379269000,192.168.1.168,8.129.131.148,88,57315,53,0,,akh5aGVrQU5yLzhZdURZUTVYeG16V3pZNDlsdDhtb2U3SmNqVXVLeTVyYk.com,62,2,1,0x00000001,1,0,0,0,,,
24,2.413895000,8.129.131.148,192.168.1.168,88,53,57315,1,0,akh5aGVrQU5yLzhZdURZUTVYeG16V3pZNDlsdDhtb2U3SmNqVXVLeTVyYk.com,62,2,1,0x00000001,1,0,0,0,,,
25,2.414309000,192.168.1.168,8.129.131.148,88,57316,53,0,,1VWW5HWkpBM0Vnc1dCQnlnaithUzdtTGdIMjFKVmVkbE1SQVJUM2RmL29k.com,62,2,1,0x00000001,1,0,0,0,,,
26,2.447293000,8.129.131.148,192.168.1.168,88,53,57316,1,0,1VWW5HWkpBM0Vnc1dCQnlnaithUzdtTGdIMjFKVmVkbE1SQVJUM2RmL29k.com,62,2,1,0x00000001,1,0,0,0,,,
27,2.447853000,192.168.1.168,8.129.131.148,88,57317,53,0,,ZmIyK1pnMFNnQzI0MU5sMVhhYkRiNWNmcWxvNFJtblMwR3FCaDhLUGJBWl.com,62,2,1,0x00000001,1,0,0,0,,,
28,2.485625000,8.129.131.148,192.168.1.168,88,53,57317,1,0,ZmIyK1pnMFNnQzI0MU5sMVhhYkRiNWNmcWxvNFJtblMwR3FCaDhLUGJBWl.com,62,2,1,0x00000001,1,0,0,0,,,
29,2.486110000,192.168.1.168,8.129.131.148,88,57318,53,0,,dEQ0FPUFNTWTl6RTBpejFMK1ZCVHNEQ2hsMmFONi9zVi9QWlBJZlN4cnhq.com,62,2,1,0x00000001,1,0,0,0,,,
30,2.521603000,8.129.131.148,192.168.1.168,88,53,57318,1,0,dEQ0FPUFNTWTl6RTBpejFMK1ZCVHNEQ2hsMmFONi9zVi9QWlBJZlN4cnhq.com,62,2,1,0x00000001,1,0,0,0,,,
31,2.522231000,192.168.1.168,8.129.131.148,88,57319,53,0,,aC9CbG81b2VNRFpkTTFKU0lmWTBkVlNoMWlDRkVvQ1o5a095UVlvOGR6WT.com,62,2,1,0x00000001,1,0,0,0,,,
32,2.556775000,8.129.131.148,192.168.1.168,88,53,57319,1,0,aC9CbG81b2VNRFpkTTFKU0lmWTBkVlNoMWlDRkVvQ1o5a095UVlvOGR6WT.com,62,2,1,0x00000001,1,0,0,0,,,
33,2.557308000,192.168.1.168,8.129.131.148,88,57320,53,0,,NSR1V2NUNTL1gva3VCaVRkVzUxSkt5SEdnSXF3TWVNTW1WYmdHeldhMWps.com,62,2,1,0x00000001,1,0,0,0,,,
34,2.593434000,8.129.131.148,192.168.1.168,88,53,57320,1,0,NSR1V2NUNTL1gva3VCaVRkVzUxSkt5SEdnSXF3TWVNTW1WYmdHeldhMWps.com,62,2,1,0x00000001,1,0,0,0,,,
35,2.594130000,192.168.1.168,8.129.131.148,88,57321,53,0,,bkRqVEhEOE5TSHh1RGsyQThHeHB5aXpZOS9ZbTd2cXV0T2lpYTFjWnFZRm.com,62,2,1,0x00000001,1,0,0,0,,,
36,2.629167000,8.129.131.148,192.168.1.168,88,53,57321,1,0,bkRqVEhEOE5TSHh1RGsyQThHeHB5aXpZOS9ZbTd2cXV0T2lpYTFjWnFZRm.com,62,2,1,0x00000001,1,0,0,0,,,
