frame.number,frame.time_relative,ip.src,ip.dst,udp.length,udp.srcport,udp.dstport,dns.flags.response,dns.flags.rcode,dns.qry.name,dns.qry.name.len,dns.count.labels,dns.qry.type,dns.qry.class,dns.count.queries,dns.count.answers,dns.count.auth_rr,dns.count.add_rr,dns.resp.name,dns.resp.len,dns.resp.ttl
1,0.000000000,192.168.1.168,192.168.1.1,47,60635,53,0,,api.live.bilibili.com,21,4,1,0x00000001,1,0,0,0,,,
2,0.003095000,192.168.1.1,192.168.1.168,175,53,60635,1,0,api.live.bilibili.com,21,4,1,0x00000001,1,7,0,0,api.live.bilibili.com,20,341
3,49.975595000,192.168.1.168,192.168.1.1,44,51559,53,0,,data.bilivideo.com,18,3,1,0x00000001,1,0,0,0,,,
4,49.981213000,192.168.1.1,192.168.1.168,332,53,51559,1,0,data.bilivideo.com,18,3,1,0x00000001,1,18,0,0,data.bilivideo.com,4,27
5,93.252979000,192.168.1.168,192.168.1.1,60,59952,53,0,,tile-service.weather.microsoft.com,34,4,1,0x00000001,1,0,0,0,,,
6,93.256715000,192.168.1.1,192.168.1.168,166,53,59952,1,0,tile-service.weather.microsoft.com,34,4,1,0x00000001,1,3,0,0,tile-service.weather.microsoft.com,44,1583
7,96.000341000,192.168.1.168,192.168.1.1,47,62782,53,0,,api.live.bilibili.com,21,4,1,0x00000001,1,0,0,0,,,
8,96.003056000,192.168.1.1,192.168.1.168,175,53,62782,1,0,api.live.bilibili.com,21,4,1,0x00000001,1,7,0,0,api.live.bilibili.com,20,495
9,99.254491000,192.168.1.168,192.168.1.1,46,58312,53,0,,suggestion.baidu.com,20,3,1,0x00000001,1,0,0,0,,,
10,99.255225000,192.168.1.168,192.168.1.1,50,49251,53,0,,infinity-api.extfans.com,24,3,1,0x00000001,1,0,0,0,,,
11,99.257520000,192.168.1.1,192.168.1.168,96,53,58312,1,0,suggestion.baidu.com,20,3,1,0x00000001,1,2,0,0,suggestion.baidu.com,22,1702
12,99.257720000,192.168.1.1,192.168.1.168,50,53,49251,1,3,infinity-api.extfans.com,24,3,1,0x00000001,1,0,0,0,,,
13,100.742570000,192.168.1.168,192.168.1.1,40,50587,53,0,,forum.gokz.org,14,3,1,0x00000001,1,0,0,0,,,
14,100.742631000,192.168.1.168,192.168.1.1,42,49661,53,0,,cdn.jsdelivr.net,16,3,1,0x00000001,1,0,0,0,,,
15,100.746852000,192.168.1.1,192.168.1.168,103,53,49661,1,0,cdn.jsdelivr.net,16,3,1,0x00000001,1,2,0,0,cdn.jsdelivr.net,33,544
16,100.777435000,192.168.1.168,192.168.1.1,40,50587,53,0,,forum.gokz.org,14,3,1,0x00000001,1,0,0,0,,,
17,100.983667000,192.168.1.1,192.168.1.168,104,53,50587,1,0,forum.gokz.org,14,3,1,0x00000001,1,4,0,0,forum.gokz.org,4,60
18,104.900588000,192.168.1.168,192.168.1.1,38,57373,53,0,,cdn.gokz.org,12,3,1,0x00000001,1,0,0,0,,,
19,104.934834000,192.168.1.168,192.168.1.1,38,57373,53,0,,cdn.gokz.org,12,3,1,0x00000001,1,0,0,0,,,
20,105.237600000,192.168.1.1,192.168.1.168,102,53,57373,1,0,cdn.gokz.org,12,3,1,0x00000001,1,4,0,0,cdn.gokz.org,4,60
21,107.836826000,192.168.1.168,192.168.1.1,50,57752,53,0,,translate.googleapis.com,24,3,1,0x00000001,1,0,0,0,,,
22,107.841002000,192.168.1.1,192.168.1.168,66,53,57752,1,0,translate.googleapis.com,24,3,1,0x00000001,1,1,0,0,translate.googleapis.com,4,9
23,108.000427000,192.168.1.168,192.168.1.1,57,63721,53,0,,content-autofill.googleapis.com,31,3,1,0x00000001,1,0,0,0,,,
24,108.006747000,192.168.1.1,192.168.1.168,73,53,63721,1,0,content-autofill.googleapis.com,31,3,1,0x00000001,1,1,0,0,content-autofill.googleapis.com,4,166
25,108.019086000,192.168.1.168,192.168.1.1,43,58432,53,0,,data.bilibili.com,17,3,1,0x00000001,1,0,0,0,,,
26,108.022976000,192.168.1.1,192.168.1.168,135,53,58432,1,0,data.bilibili.com,17,3,1,0x00000001,1,5,0,0,data.bilibili.com,16,191
27,110.006834000,192.168.1.168,192.168.1.1,44,49483,53,0,,data.bilivideo.com,18,3,1,0x00000001,1,0,0,0,,,
28,110.013968000,192.168.1.1,192.168.1.168,332,53,49483,1,0,data.bilivideo.com,18,3,1,0x00000001,1,18,0,0,data.bilivideo.com,4,48
29,150.341895000,192.168.1.168,192.168.1.1,49,61718,53,0,,config.pinyin.sogou.com,23,4,1,0x00000001,1,0,0,0,,,
30,150.345778000,192.168.1.1,192.168.1.168,129,53,61718,1,0,config.pinyin.sogou.com,23,4,1,0x00000001,1,5,0,0,config.pinyin.sogou.com,4,91
31,150.436606000,192.168.1.168,192.168.1.1,39,49539,53,0,,get.sogou.com,13,3,1,0x00000001,1,0,0,0,,,
32,150.439613000,192.168.1.1,192.168.1.168,177,53,49539,1,0,get.sogou.com,13,3,1,0x00000001,1,8,0,0,get.sogou.com,14,89
33,179.643798000,192.168.1.168,192.168.1.1,61,61354,53,0,,clientconfig.akamai.steamstatic.com,35,4,1,0x00000001,1,0,0,0,,,
34,179.647364000,192.168.1.1,192.168.1.168,186,53,61354,1,0,clientconfig.akamai.steamstatic.com,35,4,1,0x00000001,1,4,0,0,clientconfig.akamai.steamstatic.com,51,30
35,179.954158000,192.168.1.168,192.168.1.1,49,53139,53,0,,steamcdn-a.akamaihd.net,23,3,1,0x00000001,1,0,0,0,,,
36,179.958146000,192.168.1.1,192.168.1.168,223,53,53139,1,0,steamcdn-a.akamaihd.net,23,3,1,0x00000001,1,8,0,0,steamcdn-a.akamaihd.net,36,23
37,192.001880000,192.168.1.168,192.168.1.1,47,60044,53,0,,api.live.bilibili.com,21,4,1,0x00000001,1,0,0,0,,,
38,192.005206000,192.168.1.1,192.168.1.168,175,53,60044,1,0,api.live.bilibili.com,21,4,1,0x00000001,1,7,0,0,api.live.bilibili.com,20,214
39,229.865297000,192.168.1.168,192.168.1.1,44,64108,53,0,,data.bilivideo.com,18,3,1,0x00000001,1,0,0,0,,,
40,229.873269000,192.168.1.1,192.168.1.168,332,53,64108,1,0,data.bilivideo.com,18,3,1,0x00000001,1,18,0,0,data.bilivideo.com,4,110
41,268.500183000,192.168.1.168,192.168.1.1,52,49197,53,0,,checkappexec.microsoft.com,26,3,1,0x00000001,1,0,0,0,,,
42,268.503624000,192.168.1.1,192.168.1.168,183,53,49197,1,0,checkappexec.microsoft.com,26,3,1,0x00000001,1,3,0,0,checkappexec.microsoft.com,31,1031
43,278.178612000,192.168.1.168,192.168.1.1,41,55929,53,0,,imgcache.qq.com,15,3,1,0x00000001,1,0,0,0,,,
44,278.182074000,192.168.1.1,192.168.1.168,151,53,55929,1,0,imgcache.qq.com,15,3,1,0x00000001,1,4,0,0,imgcache.qq.com,28,50
45,278.254892000,192.168.1.168,192.168.1.1,41,57625,53,0,,pub.idqqimg.com,15,3,1,0x00000001,1,0,0,0,,,
46,278.258452000,192.168.1.1,192.168.1.168,205,53,57625,1,0,pub.idqqimg.com,15,3,1,0x00000001,1,7,0,0,pub.idqqimg.com,24,211
47,278.432506000,192.168.1.168,192.168.1.1,42,51190,53,0,,s6.music.126.net,16,4,1,0x00000001,1,0,0,0,,,
48,278.435919000,192.168.1.1,192.168.1.168,139,53,51190,1,0,s6.music.126.net,16,4,1,0x00000001,1,3,0,0,s6.music.126.net,31,742
49,278.715854000,192.168.1.168,192.168.1.1,43,60289,53,0,,ac.dun.163yun.com,17,4,1,0x00000001,1,0,0,0,,,
50,278.751753000,192.168.1.168,192.168.1.1,43,60289,53,0,,ac.dun.163yun.com,17,4,1,0x00000001,1,0,0,0,,,
51,278.755405000,192.168.1.1,192.168.1.168,104,53,60289,1,0,ac.dun.163yun.com,17,4,1,0x00000001,1,2,0,0,ac.dun.163yun.com,33,1067
52,279.364521000,192.168.1.168,192.168.1.1,46,64208,53,0,,acstatic-dun.126.net,20,3,1,0x00000001,1,0,0,0,,,
53,279.374750000,192.168.1.1,192.168.1.168,123,53,64208,1,0,acstatic-dun.126.net,20,3,1,0x00000001,1,3,0,0,acstatic-dun.126.net,33,1004
54,279.650339000,192.168.1.168,192.168.1.1,47,52444,53,0,,httpdns.n.netease.com,21,4,1,0x00000001,1,0,0,0,,,
55,279.653541000,192.168.1.1,192.168.1.168,63,53,52444,1,0,httpdns.n.netease.com,21,4,1,0x00000001,1,1,0,0,httpdns.n.netease.com,4,3600
56,279.727828000,192.168.1.168,192.168.1.1,42,60209,53,0,,p4.music.126.net,16,4,1,0x00000001,1,0,0,0,,,
57,279.731393000,192.168.1.1,192.168.1.168,256,53,60209,1,0,p4.music.126.net,16,4,1,0x00000001,1,10,0,0,p4.music.126.net,31,1529
58,280.347947000,192.168.1.168,192.168.1.1,42,56178,53,0,,p3.music.126.net,16,4,1,0x00000001,1,0,0,0,,,
59,280.352854000,192.168.1.1,192.168.1.168,256,53,56178,1,0,p3.music.126.net,16,4,1,0x00000001,1,10,0,0,p3.music.126.net,31,197
60,280.428782000,192.168.1.168,192.168.1.1,42,58378,53,0,,p1.music.126.net,16,4,1,0x00000001,1,0,0,0,,,
61,280.431848000,192.168.1.1,192.168.1.168,186,53,58378,1,0,p1.music.126.net,16,4,1,0x00000001,1,5,0,0,p1.music.126.net,31,1573
62,280.435870000,192.168.1.168,192.168.1.1,42,57347,53,0,,p2.music.126.net,16,4,1,0x00000001,1,0,0,0,,,
63,280.440494000,192.168.1.1,192.168.1.168,186,53,57347,1,0,p2.music.126.net,16,4,1,0x00000001,1,5,0,0,p2.music.126.net,31,1653
64,280.673310000,192.168.1.168,192.168.1.1,42,64371,53,0,,web.push.126.net,16,4,1,0x00000001,1,0,0,0,,,
65,280.679972000,192.168.1.1,192.168.1.168,58,53,64371,1,0,web.push.126.net,16,4,1,0x00000001,1,1,0,0,web.push.126.net,4,2941
66,286.738003000,192.168.1.168,192.168.1.1,40,56629,53,0,,lbs.netease.im,14,3,1,0x00000001,1,0,0,0,,,
67,286.740556000,192.168.1.1,192.168.1.168,115,53,56629,1,0,lbs.netease.im,14,3,1,0x00000001,1,3,0,0,lbs.netease.im,31,100
68,287.261996000,192.168.1.168,192.168.1.1,43,51417,53,0,,apm.music.163.com,17,4,1,0x00000001,1,0,0,0,,,
69,287.265631000,192.168.1.1,192.168.1.168,115,53,51417,1,0,apm.music.163.com,17,4,1,0x00000001,1,3,0,0,apm.music.163.com,28,415
70,287.353077000,192.168.1.168,192.168.1.1,40,62697,53,0,,ocsp.dcocsp.cn,14,3,1,0x00000001,1,0,0,0,,,
71,287.357144000,192.168.1.1,192.168.1.168,211,53,62697,1,0,ocsp.dcocsp.cn,14,3,1,0x00000001,1,9,0,0,ocsp.dcocsp.cn,31,525
72,287.715292000,192.168.1.168,192.168.1.1,42,65267,53,0,,p5.music.126.net,16,4,1,0x00000001,1,0,0,0,,,
73,287.718741000,192.168.1.1,192.168.1.168,183,53,65267,1,0,p5.music.126.net,16,4,1,0x00000001,1,5,0,0,p5.music.126.net,31,965
74,308.253918000,192.168.1.168,192.168.1.1,41,64093,53,0,,pub.idqqimg.com,15,3,1,0x00000001,1,0,0,0,,,
75,308.257336000,192.168.1.1,192.168.1.168,173,53,64093,1,0,pub.idqqimg.com,15,3,1,0x00000001,1,5,0,0,pub.idqqimg.com,24,103
76,322.862199000,192.168.1.168,192.168.1.1,35,56759,53,0,,s1.url.cn,9,3,1,0x00000001,1,0,0,0,,,
77,322.865753000,192.168.1.1,192.168.1.168,388,53,56759,1,0,s1.url.cn,9,3,1,0x00000001,1,18,0,0,s1.url.cn,30,2433
78,326.887414000,192.168.1.168,192.168.1.1,49,52585,53,0,,interface.music.163.com,23,4,1,0x00000001,1,0,0,0,,,
79,326.891750000,192.168.1.1,192.168.1.168,146,53,52585,1,0,interface.music.163.com,23,4,1,0x00000001,1,4,0,0,interface.music.163.com,33,373
80,326.961152000,192.168.1.168,192.168.1.1,44,62458,53,0,,pcr.da.netease.com,18,4,1,0x00000001,1,0,0,0,,,
81,326.965128000,192.168.1.1,192.168.1.168,60,53,62458,1,0,pcr.da.netease.com,18,4,1,0x00000001,1,1,0,0,pcr.da.netease.com,4,1391
