frame.number,frame.time_relative,ip.src,ip.dst,udp.length,udp.srcport,udp.dstport,dns.flags.response,dns.flags.rcode,dns.qry.name,dns.qry.name.len,dns.count.labels,dns.qry.type,dns.qry.class,dns.count.queries,dns.count.answers,dns.count.auth_rr,dns.count.add_rr,dns.resp.name,dns.resp.len,dns.resp.ttl
1,0.000000000,192.168.1.247,192.168.1.1,35,56422,53,0,,app.bt.cn,9,3,1,0x00000001,1,0,0,0,,,
2,0.003785000,192.168.1.1,192.168.1.247,119,53,56422,1,0,app.bt.cn,9,3,1,0x00000001,1,4,0,0,app.bt.cn,23,60
3,0.020461000,192.168.1.247,192.168.1.1,35,56874,53,0,,www.bt.cn,9,3,1,0x00000001,1,0,0,0,,,
4,0.024789000,192.168.1.1,192.168.1.247,51,53,56874,1,0,www.bt.cn,9,3,1,0x00000001,1,1,0,0,www.bt.cn,4,60
5,75.541038000,192.168.1.247,192.168.1.1,37,60522,53,0,,v.bakar.moe,11,3,1,0x00000001,1,0,0,0,,,
6,75.861118000,192.168.1.1,192.168.1.247,53,53,60522,1,0,v.bakar.moe,11,3,1,0x00000001,1,1,0,0,v.bakar.moe,4,300
7,95.964180000,192.168.1.247,192.168.1.1,37,53832,53,0,,i.ytimg.com,11,3,1,0x00000001,1,0,0,0,,,
8,95.969400000,192.168.1.1,192.168.1.247,53,53,53832,1,0,i.ytimg.com,11,3,1,0x00000001,1,1,0,0,i.ytimg.com,4,3
9,96.039338000,192.168.1.247,192.168.1.1,41,54531,53,0,,www.youtube.com,15,3,1,0x00000001,1,0,0,0,,,
10,96.043186000,192.168.1.1,192.168.1.247,57,53,54531,1,0,www.youtube.com,15,3,1,0x00000001,1,1,0,0,www.youtube.com,4,28
11,98.636006000,192.168.1.247,192.168.1.1,38,62610,53,0,,s1.hdslb.com,12,3,1,0x00000001,1,0,0,0,,,
12,98.636160000,192.168.1.247,192.168.1.1,42,63509,53,0,,www.bilibili.com,16,3,1,0x00000001,1,0,0,0,,,
13,98.636729000,192.168.1.247,192.168.1.1,38,65433,53,0,,i0.hdslb.com,12,3,1,0x00000001,1,0,0,0,,,
14,98.640328000,192.168.1.1,192.168.1.247,226,53,62610,1,0,s1.hdslb.com,12,3,1,0x00000001,1,10,0,0,s1.hdslb.com,10,81
15,98.640329000,192.168.1.1,192.168.1.247,90,53,63509,1,0,www.bilibili.com,16,3,1,0x00000001,1,2,0,0,www.bilibili.com,20,131
16,98.643043000,192.168.1.1,192.168.1.247,137,53,65433,1,0,i0.hdslb.com,12,3,1,0x00000001,1,5,0,0,i0.hdslb.com,6,229
17,98.677055000,192.168.1.247,192.168.1.1,42,62913,53,0,,static.hdslb.com,16,3,1,0x00000001,1,0,0,0,,,
18,98.677984000,192.168.1.247,192.168.1.1,38,52400,53,0,,s2.hdslb.com,12,3,1,0x00000001,1,0,0,0,,,
19,98.680988000,192.168.1.1,192.168.1.247,220,53,52400,1,0,s2.hdslb.com,12,3,1,0x00000001,1,8,0,0,s2.hdslb.com,10,82
20,98.684972000,192.168.1.1,192.168.1.247,325,53,62913,1,0,static.hdslb.com,16,3,1,0x00000001,1,16,0,0,static.hdslb.com,31,32
21,99.101625000,192.168.1.247,192.168.1.1,38,54536,53,0,,i2.hdslb.com,12,3,1,0x00000001,1,0,0,0,,,
22,99.117119000,192.168.1.1,192.168.1.247,137,53,54536,1,0,i2.hdslb.com,12,3,1,0x00000001,1,5,0,0,i2.hdslb.com,6,92
23,99.740443000,192.168.1.247,192.168.1.1,43,64371,53,0,,data.bilibili.com,17,3,1,0x00000001,1,0,0,0,,,
24,99.744422000,192.168.1.1,192.168.1.247,142,53,64371,1,0,data.bilibili.com,17,3,1,0x00000001,1,3,0,0,data.bilibili.com,42,50
25,100.758935000,192.168.1.247,192.168.1.1,41,65176,53,0,,cm.bilibili.com,15,3,1,0x00000001,1,0,0,0,,,
26,100.761846000,192.168.1.1,192.168.1.247,89,53,65176,1,0,cm.bilibili.com,15,3,1,0x00000001,1,2,0,0,cm.bilibili.com,20,264
27,100.766702000,192.168.1.247,192.168.1.1,42,59369,53,0,,api.bilibili.com,16,3,1,0x00000001,1,0,0,0,,,
28,100.771250000,192.168.1.1,192.168.1.247,90,53,59369,1,0,api.bilibili.com,16,3,1,0x00000001,1,2,0,0,api.bilibili.com,20,257
29,101.276157000,192.168.1.247,192.168.1.1,46,59968,53,0,,message.bilibili.com,20,3,1,0x00000001,1,0,0,0,,,
30,101.281394000,192.168.1.1,192.168.1.247,94,53,59968,1,0,message.bilibili.com,20,3,1,0x00000001,1,2,0,0,message.bilibili.com,20,66
31,101.292783000,192.168.1.247,192.168.1.1,45,57934,53,0,,api.vc.bilibili.com,19,4,1,0x00000001,1,0,0,0,,,
32,101.297383000,192.168.1.1,192.168.1.247,93,53,57934,1,0,api.vc.bilibili.com,19,4,1,0x00000001,1,2,0,0,api.vc.bilibili.com,20,522
33,101.520173000,192.168.1.247,192.168.1.1,42,61446,53,0,,backup.hdslb.com,16,3,1,0x00000001,1,0,0,0,,,
34,101.529557000,192.168.1.1,192.168.1.247,213,53,61446,1,0,backup.hdslb.com,16,3,1,0x00000001,1,9,0,0,backup.hdslb.com,31,571
35,123.334451000,192.168.1.247,192.168.1.1,47,53892,53,0,,api.live.bilibili.com,21,4,1,0x00000001,1,0,0,0,,,
36,123.341030000,192.168.1.1,192.168.1.247,95,53,53892,1,0,api.live.bilibili.com,21,4,1,0x00000001,1,2,0,0,api.live.bilibili.com,20,19
37,123.551653000,192.168.1.247,192.168.1.1,38,53285,53,0,,i1.hdslb.com,12,3,1,0x00000001,1,0,0,0,,,
38,123.557354000,192.168.1.1,192.168.1.247,216,53,53285,1,0,i1.hdslb.com,12,3,1,0x00000001,1,8,0,0,i1.hdslb.com,6,23
39,133.422764000,192.168.1.247,192.168.1.1,53,57264,53,0,,roaming.officeapps.live.com,27,4,1,0x00000001,1,0,0,0,,,
