frame.number,frame.time_relative,ip.src,ip.dst,udp.length,udp.srcport,udp.dstport,dns.flags.response,dns.flags.rcode,dns.qry.name,dns.qry.name.len,dns.count.labels,dns.qry.type,dns.qry.class,dns.count.queries,dns.count.answers,dns.count.auth_rr,dns.count.add_rr,dns.resp.name,dns.resp.len,dns.resp.ttl
1,0.000000000,175.155.120.141,172.16.249.68,106,50223,53,0,,aaaaaaaaagaaeaaaaaaijkbmpjlaegabaaaaa.dns2tcp.leaflove.cn,57,4,16,0x00000001,1,0,0,1,<Root>,12,
2,0.059153000,175.155.120.141,172.16.249.68,106,22262,53,0,,aaaaaaaaagaaeaaaaaaijkbmpjlaegabaaaaa.dns2tcp.leaflove.cn,57,4,16,0x00000001,1,0,0,1,<Root>,12,
3,0.092556000,172.16.249.68,175.155.120.141,121,53,50223,1,0,aaaaaaaaagaaeaaaaaaijkbmpjlaegabaaaaa.dns2tcp.leaflove.cn,57,4,16,0x00000001,1,1,0,0,aaaaaaaaagaaeaaaaaaijkbmpjlaegabaaaaa.dns2tcp.leaflove.cn,26,30
4,0.104035000,172.16.249.68,175.155.120.141,121,53,22262,1,0,aaaaaaaaagaaeaaaaaaijkbmpjlaegabaaaaa.dns2tcp.leaflove.cn,57,4,16,0x00000001,1,1,0,0,aaaaaaaaagaaeaaaaaaijkbmpjlaegabaaaaa.dns2tcp.leaflove.cn,26,30
5,0.122344000,175.155.120.141,172.16.249.68,106,29737,53,0,,aaaaaaaaagaaeaaaaaaijkbmpjlaegabaaaaa.dns2tcp.leaflove.cn,57,4,16,0x00000001,1,0,0,1,<Root>,12,
6,0.129558000,172.16.249.68,175.155.120.141,121,53,29737,1,0,aaaaaaaaagaaeaaaaaaijkbmpjlaegabaaaaa.dns2tcp.leaflove.cn,57,4,16,0x00000001,1,1,0,0,aaaaaaaaagaaeaaaaaaijkbmpjlaegabaaaaa.dns2tcp.leaflove.cn,26,30
7,0.415284000,59.37.116.141,172.16.249.68,119,58430,53,0,,bb11ArLTb7ogjychb0If6kdCkCdwnhTArtYpe9m1RhYa4BcrW-.dns2tcp.leaflove.cn,70,4,16,0x00000001,1,0,0,1,<Root>,12,
8,0.429610000,172.16.249.68,59.37.116.141,174,53,58430,1,0,bb11ArLTb7ogjychb0If6kdCkCdwnhTArtYpe9m1RhYa4BcrW-.dns2tcp.leaflove.cn,70,4,16,0x00000001,1,1,0,0,bb11ArLTb7ogjychb0If6kdCkCdwnhTArtYpe9m1RhYa4BcrW-.dns2tcp.leaflove.cn,66,30
9,0.533538000,59.37.116.141,172.16.249.68,98,15067,53,0,,ba8Lb8C4b7of362rdvz--ylLQzn84.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,0,0,1,<Root>,12,
10,0.554186000,172.16.249.68,59.37.116.141,308,53,15067,1,0,ba8Lb8C4b7of362rdvz--ylLQzn84.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,1,0,0,ba8Lb8C4b7of362rdvz--ylLQzn84.dns2tcp.leaflove.cn,221,30
11,0.718494000,175.155.120.140,172.16.249.68,297,16943,53,0,,bkxEzOfLb7ogz8vaDM67pfgLYzE0IdhdI5P9gWVopeKgMgAny9b1Ir8cyo4aRzy.IgAWT4tNbFm5IqFdd5b5k9b0Q5cBvq7Cm7DpjTWC20mqtRkxebc54zosqiNootc.qpU87vpJb2HKBcEfCtxTrpoae0PCmjQvIlmGhWLGyQPkTFX5v7fVpzhAJmZ9U56.bpxrKSYUhLgjyjqkeEbudUdufnBL4hWb4t-l.dns2tcp.leaflove.cn,248,7,16,0x00000001,1,0,0,1,<Root>,12,
12,0.719235000,172.16.249.68,175.155.120.140,502,53,16943,1,0,bkxEzOfLb7ogz8vaDM67pfgLYzE0IdhdI5P9gWVopeKgMgAny9b1Ir8cyo4aRzy.IgAWT4tNbFm5IqFdd5b5k9b0Q5cBvq7Cm7DpjTWC20mqtRkxebc54zosqiNootc.qpU87vpJb2HKBcEfCtxTrpoae0PCmjQvIlmGhWLGyQPkTFX5v7fVpzhAJmZ9U56.bpxrKSYUhLgjyjqkeEbudUdufnBL4hWb4t-l.dns2tcp.leaflove.cn,248,7,16,0x00000001,1,1,0,0,bkxEzOfLb7ogz8vaDM67pfgLYzE0IdhdI5P9gWVopeKgMgAny9b1Ir8cyo4aRzy.IgAWT4tNbFm5IqFdd5b5k9b0Q5cBvq7Cm7DpjTWC20mqtRkxebc54zosqiNootc.qpU87vpJb2HKBcEfCtxTrpoae0PCmjQvIlmGhWLGyQPkTFX5v7fVpzhAJmZ9U56.bpxrKSYUhLgjyjqkeEbudUdufnBL4hWb4t-l.dns2tcp.leaflove.cn,216,30
